,title,id,overview,poster_path
10,Superman Returns,1452,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",http://image.tmdb.org/t/p/original//ijSsWy2RWxTJzw3UMwFbXkjr5ny.jpg
11,Quantum of Solace,10764,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",http://image.tmdb.org/t/p/original//5BzOOL7zknsZSUeJwSa9kGuzHCR.jpg
12,Pirates of the Caribbean: Dead Man's Chest,58,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",http://image.tmdb.org/t/p/original//AdRQGfT05z6L9gIpUpkh4McMmpm.jpg
13,The Lone Ranger,57201,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",http://image.tmdb.org/t/p/original//b2je2ZybNIzAOL1K1WPbbT6zt2M.jpg
14,Man of Steel,49521,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",http://image.tmdb.org/t/p/original//7rIPjn5TUK04O25ZkMyHrGNPgLx.jpg
15,The Chronicles of Narnia: Prince Caspian,2454,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",http://image.tmdb.org/t/p/original//qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg
16,The Avengers,24428,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",http://image.tmdb.org/t/p/original//RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
17,Pirates of the Caribbean: On Stranger Tides,1865,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",http://image.tmdb.org/t/p/original//9zxsSzXx2UO3yNoS4j97vs4uOhc.jpg
18,Men in Black 3,41154,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",http://image.tmdb.org/t/p/original//e7kebbtwqzqam6l11aQNl7lXMs0.jpg
19,The Hobbit: The Battle of the Five Armies,122917,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",http://image.tmdb.org/t/p/original//xT98tLqatZPQApyRmlPL12LtiWp.jpg
20,The Amazing Spider-Man,1930,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",http://image.tmdb.org/t/p/original//dQ8TOCYgP9pzQvSb1cmaalYqdb5.jpg
21,Robin Hood,20662,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",http://image.tmdb.org/t/p/original//9NS5QGOfck24yL3bZqWeW06PgPC.jpg
22,The Hobbit: The Desolation of Smaug,57158,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",http://image.tmdb.org/t/p/original//xQYiXsheRCDBA39DOrmaw1aSpbk.jpg
23,The Golden Compass,2268,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",http://image.tmdb.org/t/p/original//lyaS7S4emzEaYUcSnCvyqfJpOcA.jpg
24,King Kong,254,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",http://image.tmdb.org/t/p/original//6a2HY6UmD7XiDD3NokgaBAXEsD2.jpg
25,Titanic,597,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",http://image.tmdb.org/t/p/original//9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
26,Captain America: Civil War,271110,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",http://image.tmdb.org/t/p/original//rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg
27,Battleship,44833,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",http://image.tmdb.org/t/p/original//9b0Im7SfedHiajTwzSL9zGyBI7M.jpg
28,Jurassic World,135397,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",http://image.tmdb.org/t/p/original//rhr4y79GpxQF9IsfJItRXVaoGs4.jpg
29,Skyfall,37724,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",http://image.tmdb.org/t/p/original//2pwwawlnti0BoluxFiksnVg5TZ7.jpg
30,Spider-Man 2,558,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",http://image.tmdb.org/t/p/original//olxpyq9kJAZ2NU1siLshhhXEPR7.jpg
31,Iron Man 3,68721,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",http://image.tmdb.org/t/p/original//qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg
32,Alice in Wonderland,12155,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",http://image.tmdb.org/t/p/original//o0kre9wRCZz3jjSjaru7QU0UtFz.jpg
33,X-Men: The Last Stand,36668,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",http://image.tmdb.org/t/p/original//9jDzVM003nH0NfQ57qMLHxcMQYU.jpg
34,Monsters University,62211,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,http://image.tmdb.org/t/p/original//y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg
35,Transformers: Revenge of the Fallen,8373,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",http://image.tmdb.org/t/p/original//6jcxahM7BDAAeKkP4IF8WLFsJ3K.jpg
36,Transformers: Age of Extinction,91314,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",http://image.tmdb.org/t/p/original//jyzrfx2WaeY60kYZpPYepSjGz4S.jpg
37,Oz: The Great and Powerful,68728,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",http://image.tmdb.org/t/p/original//7lBgN59T5m1DaC9XcLkHOXdK9ax.jpg
38,The Amazing Spider-Man 2,102382,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",http://image.tmdb.org/t/p/original//bU7nTmvmy0h3VUP01v1T2imgH6N.jpg
39,TRON: Legacy,20526,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",http://image.tmdb.org/t/p/original//vaQ2BDA8rP8vW2oj167TMhkOxvD.jpg
40,Cars 2,49013,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,http://image.tmdb.org/t/p/original//okIz1HyxeVOMzYwwHUjH2pHi74I.jpg
41,Green Lantern,44912,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",http://image.tmdb.org/t/p/original//fj21HwUprqjjwTdkKC1XZurRSpV.jpg
42,Toy Story 3,10193,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",http://image.tmdb.org/t/p/original//4cpGytCB0eqvRks4FAlJoUJiFPG.jpg
43,Terminator Salvation,534,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",http://image.tmdb.org/t/p/original//gw6JhlekZgtKUFlDTezq3j5JEPK.jpg
44,Furious 7,168259,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,http://image.tmdb.org/t/p/original//jPFsjmFlTFmpIY41BP3C4sVYOKw.jpg
45,World War Z,72190,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",http://image.tmdb.org/t/p/original//pLMpv8ckcDP3kiEd2fhwY7XrjHz.jpg
46,X-Men: Days of Future Past,127585,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,http://image.tmdb.org/t/p/original//bvN8iUpHyBIvniUk4e52SUZMA7Z.jpg
47,Star Trek Into Darkness,54138,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",http://image.tmdb.org/t/p/original//Aim3kVNh1MPIxPEFeJrl9e9Uf1a.jpg
48,Jack the Giant Slayer,81005,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",http://image.tmdb.org/t/p/original//99hEINsok4hbJRJRk8nEJ53sNzd.jpg
49,The Great Gatsby,64682,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",http://image.tmdb.org/t/p/original//nwJbVKauPDgJVQgT7SQpVTVN4gA.jpg
50,Prince of Persia: The Sands of Time,9543,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",http://image.tmdb.org/t/p/original//lkp1GFmWyf7k2WKvKIQuuGyichI.jpg
51,Pacific Rim,68726,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",http://image.tmdb.org/t/p/original//mmznhaQDwlHWpUwKuNxtQiubbmM.jpg
52,Transformers: Dark of the Moon,38356,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",http://image.tmdb.org/t/p/original//wzF3o2eulc5gmOIaNCViqO3nLzK.jpg
53,Indiana Jones and the Kingdom of the Crystal Skull,217,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",http://image.tmdb.org/t/p/original//dkM0XxfYa6g6MFoFtjjXFY48jHE.jpg
54,The Good Dinosaur,105864,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,http://image.tmdb.org/t/p/original//dM50iVbcnzQUIoc9TmUUk0SP4P4.jpg
55,Brave,62177,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",http://image.tmdb.org/t/p/original//fg57nIBn2xQw8JZKIX6AzMa3pEp.jpg
56,Star Trek Beyond,188927,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",http://image.tmdb.org/t/p/original//65NVDW2LnHt2ko3m8ACxFo8E21f.jpg
57,WALL·E,10681,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",http://image.tmdb.org/t/p/original//Agc6lw8pb6BIGVeguvdjDT0p9Mb.jpg
58,Rush Hour 3,5174,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",http://image.tmdb.org/t/p/original//iXsbAIZezI0gh0dnOnBbeFuG3AO.jpg
59,2012,14161,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",http://image.tmdb.org/t/p/original//zaqam2RNscH5ooYFWInV6hjx6y5.jpg
60,A Christmas Carol,17979,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",http://image.tmdb.org/t/p/original//goHDZUnqZJ7FN4h48Qh6MzJNExl.jpg
61,Jupiter Ascending,76757,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",http://image.tmdb.org/t/p/original//2NCcAZ3M3F0FxENYmammBknwpVn.jpg
62,The Legend of Tarzan,258489,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",http://image.tmdb.org/t/p/original//eJrfz178xBGlxjDGxnBXTzWWa4w.jpg
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",http://image.tmdb.org/t/p/original//kzJip9vndXYSKQHCgekrgqbnUrA.jpg
64,X-Men: Apocalypse,246655,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",http://image.tmdb.org/t/p/original//2mtQwJKVKQrZgTz49Dizb25eOQQ.jpg
65,The Dark Knight,155,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",http://image.tmdb.org/t/p/original//qJ2tW6WMUDux911r6m7haRef0WH.jpg
66,Up,14160,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",http://image.tmdb.org/t/p/original//rIfKIYMbwVlnAXOOaQRsm34GW3S.jpg
67,Monsters vs Aliens,15512,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",http://image.tmdb.org/t/p/original//iVei1uT1IkbKcM2JRca9KEoTRXM.jpg
68,Iron Man,1726,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",http://image.tmdb.org/t/p/original//78lPtwv72eTNqFW9COBYI0dWDJa.jpg
69,Hugo,44826,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",http://image.tmdb.org/t/p/original//vDAhBTIHvIoNOlgCfmLirVgUK2p.jpg
70,Wild Wild West,8487,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,http://image.tmdb.org/t/p/original//3C5cZnIwQ6Wj4qGFKv0BBjimWro.jpg
71,The Mummy: Tomb of the Dragon Emperor,1735,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",http://image.tmdb.org/t/p/original//A3acM1lX5PNWQa6r5qeMAJOxbnT.jpg
72,Suicide Squad,297761,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",http://image.tmdb.org/t/p/original//xFw9RXKZDvevAGocgBK0zteto4U.jpg
73,Evan Almighty,2698,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,http://image.tmdb.org/t/p/original//5vjH8oQFZXJ0gTOPsJKWidVsWmg.jpg
74,Edge of Tomorrow,137113,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",http://image.tmdb.org/t/p/original//uUHvlkLavotfGsNtosDy8ShsIYF.jpg
75,Waterworld,9804,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.",http://image.tmdb.org/t/p/original//f4Q6BKm1lv9u5xoffbIIwrOYf6z.jpg
76,G.I. Joe: The Rise of Cobra,14869,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",http://image.tmdb.org/t/p/original//wEr0FAAKPjlZ63i2WuuB2ge8OWv.jpg
